Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
18375392,Biryaniwala,New Delhi,Rajinder Nagar,77.1849206,28.6408817,Biryani,450,No,No,1,2.6,26
18375397,Big Yellow Door,New Delhi,GTB Nagar,77.2040926,28.6950596,"Cafe, Fast Food, Italian",600,No,No,2,4.3,214
18375401,Swad On Grill,Gurgaon,Palam Vihar,77.037902,28.5125468,"Continental, Chinese, North Indian, Mughlai",400,No,No,1,3.1,17
18375420,Munch Nation,New Delhi,Ashok Vihar Phase 3,77.17785772,28.69218909,"Fast Food, Italian, Chinese",350,No,Yes,1,4,96
18375421,The Salad Bowl,New Delhi,Malviya Nagar,77.2002839,28.5322327,"Healthy Food, Salad",800,No,Yes,2,3.5,34
18375866,Free Spirit,Lucknow,Gomti Nagar,81.01515904,26.86744546,"Cafe, Italian",450,No,No,2,4.3,106
18376469,Spicy Duck - Taj Palace Hotel,New Delhi,"The Taj Palace Hotel, Chanakyapuri",77.1702198,28.5948008,Asian,4000,Yes,No,4,3.5,24
18376472,Biryani Blues,New Delhi,Malviya Nagar,77.2132354,28.5391434,"Biryani, Hyderabadi",1000,No,Yes,3,3.9,113
18376484,Kake Da Hotel,New Delhi,Preet Vihar,77.296126,28.6428704,North Indian,600,No,Yes,2,2.7,15
18376487,Keventers,New Delhi,Kalkaji,77.2534918,28.5423284,Beverages,400,No,No,1,3.2,10
18376488,Keventers,New Delhi,New Friends Colony,77.2683973,28.5613147,Beverages,400,No,Yes,1,3.3,13
18376493,Amigo's Deli,New Delhi,Karkardooma,77.29406979,28.65678454,"Mughlai, Fast Food",350,No,No,1,3.2,11
18376494,Fabelle Chocolate Boutique - ITC Maurya,New Delhi,"ITC Maurya, Chanakyapuri",77.1735895,28.5974082,"Desserts, Ice Cream",1200,No,No,3,3.8,20
18376500,Breaktym,Noida,Sector 93,77.3820287,28.5205286,"North Indian, Mughlai",400,No,Yes,1,3.2,20
18376508,Breaktym,Noida,Sector 110,77.369517,28.545627,"North Indian, Mughlai",400,No,Yes,1,2.6,11
18376510,Keventers,New Delhi,Shalimar Bagh,77.1625853,28.7064599,Beverages,400,No,No,1,3.1,4
18376925,Twigly,Gurgaon,Sector 31,77.0587634,28.4344744,"Asian, Continental, Fast Food",500,No,Yes,2,4.5,76
18377112,Nawwarah,Kolkata,Ballygunge,88.364878,22.538731,"Chinese, Cafe, North Indian, Desserts",1000,No,No,3,3.9,326
18377283,Cha cTea,Bhubaneshwar,Sahid Nagar,85.84295925,20.29322917,"Cafe, Tea",500,No,No,2,3.8,56
18377630,Havmor Ice Cream,New Delhi,Kamla Nagar,77.2083148,28.679521,Ice Cream,200,No,Yes,1,3.7,20
18377891,Goldenplates,Noida,Sector 51,77.3664928,28.5822417,"North Indian, Mughlai, Chinese, Fast Food",600,No,No,2,3.6,33
18377903,Fast Trax,New Delhi,Laxmi Nagar,77.2842251,28.6386148,Fast Food,250,No,Yes,1,3.2,4
18377905,Mughal Dine-Esty,Gurgaon,Sushant Lok,77.0779417,28.4606023,"North Indian, Mughlai",1500,Yes,Yes,3,4,32
18377922,The Smokin' Grill by The Flashback,New Delhi,Karol Bagh,77.18888596,28.64335635,Fast Food,400,No,Yes,1,3.3,23
18377924,The Sweeet Jar,New Delhi,Anand Vihar,77.3049468,28.6600636,"Cafe, Bakery",1000,No,Yes,3,3.9,106
